001, 001, Citizen A, 01/01/1990
001, 002, Citizen B, 02/02/1991
001, 003, Citizen C, 03/03/1992
002, 004, Citizen D, 04/04/1993
002, 005, Citizen E, 05/05/1994
002, 006, Citizen F, 06/06/1995
003, 007, Citizen G, 07/07/1996
003, 008, Citizen H, 08/08/1997
003, 009, Citizen I, 09/09/1998
004, 010, Citizen J, 10/10/1999
004, 011, Citizen K, 11/11/2000
004, 012, Citizen L, 12/12/2001
005, 013, Citizen M, 13/01/2002
005, 014, Citizen N, 14/02/2003
005, 015, Citizen O, 15/03/2004
006, 016, Citizen P, 16/04/2005
006, 017, Citizen Q, 17/05/2006
006, 018, Citizen R, 18/06/2007
007, 019, Citizen S, 19/07/2008
007, 020, Citizen T, 20/08/2009
007, 021, Citizen U, 21/09/2010
008, 022, Citizen V, 22/10/2011
008, 023, Citizen W, 23/11/2012
008, 024, Citizen X, 24/12/2013
009, 025, Citizen Y, 25/01/2014
009, 026, Citizen Z, 26/02/2015
009, 027, Citizen AA, 27/03/2016
010, 028, Citizen AB, 28/04/2017
010, 029, Citizen AC, 29/05/2018
010, 030, Citizen AD, 30/06/2019
011, 031, Citizen AE, 01/07/2020
011, 032, Citizen AF, 02/08/2021
011, 033, Citizen AG, 03/09/2022
012, 034, Citizen AH, 04/10/2023
012, 035, Citizen AI, 05/11/2024
012, 036, Citizen AJ, 06/12/2025
013, 037, Citizen AK, 07/01/2026
013, 038, Citizen AL, 08/02/2027
013, 039, Citizen AM, 09/03/2028
014, 040, Citizen AN, 10/04/2029
014, 041, Citizen AO, 11/05/2030
014, 042, Citizen AP, 12/06/2031
015, 043, Citizen AQ, 13/07/2032
015, 044, Citizen AR, 14/08/2033
015, 045, Citizen AS, 15/09/2034
016, 046, Citizen AT, 16/10/2035
016, 047, Citizen AU, 17/11/2036
016, 048, Citizen AV, 18/12/2037
017, 049, Citizen AW, 19/01/2038
017, 050, Citizen AX, 20/02/2039
017, 051, Citizen AY, 21/03/2040
018, 052, Citizen AZ, 22/04/2041
018, 053, Citizen BA, 23/05/2042
018, 054, Citizen BB, 24/06/2043
019, 055, Citizen BC, 25/07/2044
019, 056, Citizen BD, 26/08/2045
019, 057, Citizen BE, 27/09/2046
020, 058, Citizen BF, 28/10/2047
020, 059, Citizen BG, 29/11/2048
020, 060, Citizen BH, 30/12/2049
021, 061, Citizen BI, 31/01/2050
021, 062, Citizen BJ, 01/02/2051
021, 063, Citizen BK, 02/03/2052
022, 064, Citizen BL, 03/04/2053
022, 065, Citizen BM, 04/05/2054
022, 066, Citizen BN, 05/06/2055
023, 067, Citizen BO, 06/07/2056
023, 068, Citizen BP, 07/08/2057
023, 069, Citizen BQ, 08/09/2058
024, 070, Citizen BR, 09/10/2059
024, 071, Citizen BS, 10/11/2060
024, 072, Citizen BT, 11/12/2061
025, 073, Citizen BU, 12/01/2062
025, 074, Citizen BV, 13/02/2063
025, 075, Citizen BW, 14/03/2064
026, 076, Citizen BX, 15/04/2065
026, 077, Citizen BY, 16/05/2066
026, 078, Citizen BZ, 17/06/2067
027, 079, Citizen CA, 18/07/2068
027, 080, Citizen CB, 19/08/2069
027, 081, Citizen CC, 20/09/2070
